Timestamp,Namespace,Pod,CPU_cores,Memory
17:56:36,cilium-test-1,host-netns-lwxpq,0m,0Mi
17:56:36,cilium-test-1,host-netns-zffkd,0m,0Mi
17:56:36,cilium-test-1,l7-lb-58679c8b86-btnwt,4m,20Mi
17:56:36,cilium-test-ccnp1,client-ccnp-78f64964d5-qppk6,0m,0Mi
17:56:36,cilium-test-ccnp2,client-ccnp-78f64964d5-wvz6s,0m,0Mi
17:56:36,kube-system,cilium-5kb4m,7m,69Mi
17:56:36,kube-system,cilium-frgxh,27m,89Mi
17:56:36,kube-system,cilium-operator-69b9bc8d79-htz2b,6m,43Mi
17:56:36,kube-system,cilium-r2t68,31m,100Mi
17:56:36,kube-system,coredns-7c65d6cfc9-w5stw,4m,17Mi
17:56:36,kube-system,coredns-7c65d6cfc9-xrqj8,4m,58Mi
17:56:36,kube-system,etcd-reehan-pc,17m,86Mi
17:56:36,kube-system,kube-apiserver-reehan-pc,27m,387Mi
17:56:36,kube-system,kube-controller-manager-reehan-pc,12m,76Mi
17:56:36,kube-system,kube-proxy-4589w,1m,19Mi
17:56:36,kube-system,kube-proxy-g78q2,1m,66Mi
17:56:36,kube-system,kube-proxy-zsl56,1m,14Mi
17:56:36,kube-system,kube-scheduler-reehan-pc,3m,27Mi
17:56:36,kube-system,metrics-server-784768665f-z8mzt,5m,24Mi
17:56:38,cilium-test-1,client-b65598b6f-2dglt,0m,0Mi
17:56:38,cilium-test-1,client2-84576868b4-vs65f,0m,0Mi
17:56:38,cilium-test-1,client3-75555c5f5-5jn7q,0m,0Mi
17:56:38,cilium-test-1,echo-other-node-5556cc78b4-nsj7t,6m,36Mi
17:56:38,cilium-test-1,echo-same-node-867b49fff8-llqpm,5m,36Mi
17:56:38,cilium-test-1,host-netns-lwxpq,0m,0Mi
17:56:38,cilium-test-1,host-netns-zffkd,0m,0Mi
17:56:38,cilium-test-1,l7-lb-58679c8b86-btnwt,4m,20Mi
17:56:38,cilium-test-ccnp1,client-ccnp-78f64964d5-qppk6,0m,0Mi
17:56:38,cilium-test-ccnp2,client-ccnp-78f64964d5-wvz6s,0m,0Mi
17:56:38,kube-system,cilium-5kb4m,7m,69Mi
17:56:38,kube-system,cilium-frgxh,27m,89Mi
17:56:38,kube-system,cilium-operator-69b9bc8d79-htz2b,6m,43Mi
17:56:38,kube-system,cilium-r2t68,31m,100Mi
17:56:38,kube-system,coredns-7c65d6cfc9-w5stw,4m,17Mi
17:56:38,kube-system,coredns-7c65d6cfc9-xrqj8,4m,58Mi
17:56:38,kube-system,etcd-reehan-pc,17m,86Mi
17:56:38,kube-system,kube-apiserver-reehan-pc,27m,387Mi
17:56:38,kube-system,kube-controller-manager-reehan-pc,12m,76Mi
17:56:38,kube-system,kube-proxy-4589w,1m,19Mi
17:56:38,kube-system,kube-proxy-g78q2,1m,66Mi
17:56:38,kube-system,kube-proxy-zsl56,1m,14Mi
17:56:38,kube-system,kube-scheduler-reehan-pc,3m,27Mi
17:56:38,kube-system,metrics-server-784768665f-z8mzt,5m,24Mi
17:56:41,cilium-test-1,client-b65598b6f-2dglt,0m,0Mi
17:56:41,cilium-test-1,client2-84576868b4-vs65f,0m,0Mi
17:56:41,cilium-test-1,client3-75555c5f5-5jn7q,0m,0Mi
17:56:41,cilium-test-1,echo-other-node-5556cc78b4-nsj7t,6m,36Mi
17:56:41,cilium-test-1,echo-same-node-867b49fff8-llqpm,5m,36Mi
17:56:41,cilium-test-1,host-netns-lwxpq,0m,0Mi
17:56:41,cilium-test-1,host-netns-zffkd,0m,0Mi
17:56:41,cilium-test-1,l7-lb-58679c8b86-btnwt,4m,20Mi
17:56:41,cilium-test-ccnp1,client-ccnp-78f64964d5-qppk6,0m,0Mi
17:56:41,cilium-test-ccnp2,client-ccnp-78f64964d5-wvz6s,0m,0Mi
17:56:41,kube-system,cilium-5kb4m,7m,69Mi
17:56:41,kube-system,cilium-frgxh,27m,89Mi
17:56:41,kube-system,cilium-operator-69b9bc8d79-htz2b,6m,43Mi
17:56:41,kube-system,cilium-r2t68,31m,100Mi
17:56:41,kube-system,coredns-7c65d6cfc9-w5stw,4m,17Mi
17:56:41,kube-system,coredns-7c65d6cfc9-xrqj8,4m,58Mi
17:56:41,kube-system,etcd-reehan-pc,17m,86Mi
17:56:41,kube-system,kube-apiserver-reehan-pc,27m,387Mi
17:56:41,kube-system,kube-controller-manager-reehan-pc,12m,76Mi
17:56:41,kube-system,kube-proxy-4589w,1m,19Mi
17:56:41,kube-system,kube-proxy-g78q2,1m,66Mi
17:56:41,kube-system,kube-proxy-zsl56,1m,14Mi
17:56:41,kube-system,kube-scheduler-reehan-pc,3m,27Mi
17:56:41,kube-system,metrics-server-784768665f-z8mzt,5m,24Mi
17:56:43,cilium-test-1,client-b65598b6f-2dglt,0m,0Mi
17:56:43,cilium-test-1,client2-84576868b4-vs65f,0m,0Mi
17:56:43,cilium-test-1,client3-75555c5f5-5jn7q,0m,0Mi
17:56:43,cilium-test-1,echo-other-node-5556cc78b4-nsj7t,6m,36Mi
17:56:43,cilium-test-1,echo-same-node-867b49fff8-llqpm,7m,34Mi
17:56:43,cilium-test-1,host-netns-lwxpq,0m,0Mi
17:56:43,cilium-test-1,host-netns-zffkd,0m,0Mi
17:56:43,cilium-test-1,l7-lb-58679c8b86-btnwt,4m,19Mi
17:56:43,cilium-test-ccnp1,client-ccnp-78f64964d5-qppk6,0m,0Mi
17:56:43,cilium-test-ccnp2,client-ccnp-78f64964d5-wvz6s,0m,0Mi
17:56:43,kube-system,cilium-5kb4m,8m,70Mi
17:56:43,kube-system,cilium-frgxh,29m,91Mi
17:56:43,kube-system,cilium-operator-69b9bc8d79-htz2b,6m,43Mi
17:56:43,kube-system,cilium-r2t68,26m,99Mi
17:56:43,kube-system,coredns-7c65d6cfc9-w5stw,3m,16Mi
17:56:43,kube-system,coredns-7c65d6cfc9-xrqj8,3m,57Mi
17:56:43,kube-system,etcd-reehan-pc,19m,87Mi
17:56:43,kube-system,kube-apiserver-reehan-pc,37m,396Mi
17:56:43,kube-system,kube-controller-manager-reehan-pc,12m,76Mi
17:56:43,kube-system,kube-proxy-4589w,1m,19Mi
17:56:43,kube-system,kube-proxy-g78q2,1m,66Mi
17:56:43,kube-system,kube-proxy-zsl56,1m,14Mi
17:56:43,kube-system,kube-scheduler-reehan-pc,2m,27Mi
17:56:43,kube-system,metrics-server-784768665f-z8mzt,6m,24Mi
