Timestamp,Namespace,Pod,CPU_cores,Memory
15:52:14,calico-system,csi-node-driver-cmk9g,1m,10Mi
15:52:14,calico-system,csi-node-driver-xpg5x,1m,34Mi
15:52:14,calico-system,csi-node-driver-xs8z4,1m,9Mi
15:52:14,kube-system,coredns-7c65d6cfc9-jcpd5,1m,16Mi
15:52:14,kube-system,coredns-7c65d6cfc9-jzgjb,1m,15Mi
15:52:14,kube-system,etcd-reehan-pc,21m,82Mi
15:52:14,kube-system,kube-apiserver-reehan-pc,94m,405Mi
15:52:14,kube-system,kube-controller-manager-reehan-pc,11m,68Mi
15:52:14,kube-system,kube-proxy-4589w,1m,18Mi
15:52:14,kube-system,kube-proxy-g78q2,2m,65Mi
15:52:14,kube-system,kube-proxy-zsl56,1m,17Mi
15:52:14,kube-system,kube-scheduler-reehan-pc,2m,20Mi
15:52:14,kube-system,metrics-server-784768665f-z8mzt,5m,23Mi
15:52:16,calico-system,calico-kube-controllers-848f8b6555-ghxj8,2m,26Mi
15:52:16,calico-system,calico-node-247dv,25m,157Mi
15:52:16,calico-system,calico-node-f7cf7,14m,221Mi
15:52:16,calico-system,calico-node-k665x,37m,162Mi
15:52:16,calico-system,calico-typha-78d884b655-92925,3m,55Mi
15:52:16,calico-system,calico-typha-78d884b655-pkf7c,2m,32Mi
15:52:16,calico-system,csi-node-driver-cmk9g,1m,10Mi
15:52:16,calico-system,csi-node-driver-xpg5x,1m,34Mi
15:52:16,calico-system,csi-node-driver-xs8z4,1m,9Mi
15:52:16,kube-system,coredns-7c65d6cfc9-jcpd5,1m,16Mi
15:52:16,kube-system,coredns-7c65d6cfc9-jzgjb,1m,15Mi
15:52:16,kube-system,etcd-reehan-pc,21m,82Mi
15:52:16,kube-system,kube-apiserver-reehan-pc,94m,405Mi
15:52:16,kube-system,kube-controller-manager-reehan-pc,11m,68Mi
15:52:16,kube-system,kube-proxy-4589w,1m,18Mi
15:52:16,kube-system,kube-proxy-g78q2,2m,65Mi
15:52:16,kube-system,kube-proxy-zsl56,1m,17Mi
15:52:16,kube-system,kube-scheduler-reehan-pc,2m,20Mi
15:52:16,kube-system,metrics-server-784768665f-z8mzt,5m,23Mi
15:52:18,calico-system,calico-kube-controllers-848f8b6555-ghxj8,2m,26Mi
15:52:18,calico-system,calico-node-247dv,25m,157Mi
15:52:18,calico-system,calico-node-f7cf7,14m,221Mi
15:52:18,calico-system,calico-node-k665x,37m,162Mi
15:52:18,calico-system,calico-typha-78d884b655-92925,3m,55Mi
15:52:18,calico-system,calico-typha-78d884b655-pkf7c,2m,32Mi
15:52:18,calico-system,csi-node-driver-cmk9g,1m,10Mi
15:52:18,calico-system,csi-node-driver-xpg5x,1m,34Mi
15:52:18,calico-system,csi-node-driver-xs8z4,1m,9Mi
15:52:18,kube-system,coredns-7c65d6cfc9-jcpd5,1m,16Mi
15:52:18,kube-system,coredns-7c65d6cfc9-jzgjb,1m,15Mi
15:52:18,kube-system,etcd-reehan-pc,21m,82Mi
15:52:18,kube-system,kube-apiserver-reehan-pc,94m,405Mi
15:52:18,kube-system,kube-controller-manager-reehan-pc,11m,68Mi
15:52:18,kube-system,kube-proxy-4589w,1m,18Mi
15:52:18,kube-system,kube-proxy-g78q2,2m,65Mi
15:52:18,kube-system,kube-proxy-zsl56,1m,17Mi
15:52:18,kube-system,kube-scheduler-reehan-pc,2m,20Mi
15:52:18,kube-system,metrics-server-784768665f-z8mzt,5m,23Mi
15:52:21,calico-system,calico-kube-controllers-848f8b6555-ghxj8,2m,26Mi
15:52:21,calico-system,calico-node-247dv,25m,157Mi
15:52:21,calico-system,calico-node-f7cf7,14m,221Mi
15:52:21,calico-system,calico-node-k665x,37m,162Mi
15:52:21,calico-system,calico-typha-78d884b655-92925,3m,55Mi
15:52:21,calico-system,calico-typha-78d884b655-pkf7c,2m,32Mi
15:52:21,calico-system,csi-node-driver-cmk9g,1m,10Mi
15:52:21,calico-system,csi-node-driver-xpg5x,1m,34Mi
15:52:21,calico-system,csi-node-driver-xs8z4,1m,9Mi
15:52:21,kube-system,coredns-7c65d6cfc9-jcpd5,1m,16Mi
15:52:21,kube-system,coredns-7c65d6cfc9-jzgjb,1m,15Mi
15:52:21,kube-system,etcd-reehan-pc,21m,82Mi
15:52:21,kube-system,kube-apiserver-reehan-pc,94m,405Mi
15:52:21,kube-system,kube-controller-manager-reehan-pc,11m,68Mi
15:52:21,kube-system,kube-proxy-4589w,1m,18Mi
15:52:21,kube-system,kube-proxy-g78q2,2m,65Mi
15:52:21,kube-system,kube-proxy-zsl56,1m,17Mi
15:52:21,kube-system,kube-scheduler-reehan-pc,2m,20Mi
15:52:21,kube-system,metrics-server-784768665f-z8mzt,5m,23Mi
